DatasetName,Loc ID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,SampleCollectionEquipmentName,CharacteristicName,ResultValue,ResultUnit
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Chlorine,0,ppm
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,"Temperature, water",24.4,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,"Temperature, water",25.7,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Conductivity,84,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,"Alkalinity, total",80,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Dissolved oxygen (DO),12,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10848,Dog Lake:MartinVille (MV-WM-C,48.313915,-84.0620812,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Conductivity,122,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10850,Dog lake:IVC-WM-A,48.3125996,-84.0359051,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,"Temperature, air",19,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,"Temperature, water",18.4,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,"Temperature, air",20,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Test strip,Total hardness,0,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,,pH,7.2,None
Missanabie Cree First Nation Community-led water quality monitoring,10849,Eskay Lake:Eskay lake boat launch (EL-WM—B),48.3337018,-84.0383211,Lake/Pond,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Dissolved oxygen (DO),11,mg/L
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,5/25/2023,Probe/Sensor,Conductivity,103,uS/cm
Missanabie Cree First Nation Community-led water quality monitoring,10847,Hawk Lake:Hawk Lake boat launch (HL-WM-D),48.080144,-84.5518761,Lake/Pond,Field Msr/Obs,Surface Water,5/25/2023,Probe/Sensor,"Temperature, air",12,deg C
Missanabie Cree First Nation Community-led water quality monitoring,10846,Michipicoten River:Michipicoten River (MRM-WM-E),47.9222696,-84.8045415,River/Stream,Field Msr/Obs,Surface Water,7/13/2023,Probe/Sensor,Conductivity,63,uS/cm
